name,team,battingStyle,bowlingStyle,playingRole,image
AaronFinch,KKR,Right hand Bat,Slow Left arm Orthodox,Top order Batter,https://scores.iplt20.com/ipl/playerimages/Aaron%20Finch.png?v=4
AnukulRoy,KKR,Left hand Bat,Slow Left arm Orthodox,Allrounder,https://assets.iplt20.com/ipl/IPLHeadshot2024/160.png
HarshitRana,KKR,Right hand Bat,Right arm Fast,Bowler,https://assets.iplt20.com/ipl/IPLHeadshot2024/1013.png
SaiSudharsan,Titans,Left hand Bat,Legbreak,Top order Batter,https://assets.iplt20.com/ipl/IPLHeadshot2024/976.png
PradeepSangwan,Titans,Right hand Bat,Left arm Medium,Bowler,https://scores.iplt20.com/ipl/playerimages/Pradeep%20Sangwan.png?v=4
SeanAbbott,Sunrisers,Right hand Bat,Right arm Fast medium,Bowling Allrounder,https://scores.iplt20.com/ipl/playerimages/Sean%20Abbott.png?v=4
DwainePretorius,Super Kings,Right hand Bat,Right arm Medium fast,Bowling Allrounder,https://scores.iplt20.com/ipl/playerimages/Dwaine%20Pretorius.png?v=4
KarunNair,Royals,Right hand Bat,Right arm Offbreak,Top order Batter,https://scores.iplt20.com/ipl/playerimages/Karun%20Nair.png?v=4
DarylMitchell,Royals,Right hand Bat,Right arm Medium,Batting Allrounder,https://assets.iplt20.com/ipl/IPLHeadshot2024/83.png
AbhinavManohar,Titans,Right hand Bat,Legbreak Googly,Batting Allrounder,https://assets.iplt20.com/ipl/IPLHeadshot2024/974.png
SuyashPrabhudessai,RCB,Right hand Bat,Right arm Medium,Batting Allrounder,https://assets.iplt20.com/ipl/IPLHeadshot2024/598.png
VaibhavArora,Punjab Kings,Right hand Bat,Right arm Fast medium,Bowler,https://assets.iplt20.com/ipl/IPLHeadshot2024/583.png
OdeanSmith,Punjab Kings,Right hand Bat,Right arm Fast medium,Bowling Allrounder,https://scores.iplt20.com/ipl/playerimages/Odean%20Smith.png?v=4
TymalMills,Mumbai,Right hand Bat,Left arm Fast,Bowler,
AmanHakimKhan,KKR,Right hand Bat,Right arm Medium,Allrounder,https://scores.iplt20.com/ipl/playerimages/Aman%20Khan.png?v=4
BasilThampi,Mumbai,Right hand Bat,Right arm Fast medium,Bowler,
AkashDeep,RCB,Right hand Bat,Right arm Fast medium,Bowling Allrounder,https://assets.iplt20.com/ipl/IPLHeadshot2024/1007.png
DarshanNalkande,Titans,Right hand Bat,Right arm Fast medium,Bowler,https://assets.iplt20.com/ipl/IPLHeadshot2024/127.png
RasikhSalam,KKR,Right hand Bat,Right arm Medium,Bowler,https://scores.iplt20.com/ipl/playerimages/Rasikh%20Salam.png?v=4
DavidWilley,RCB,Left hand Bat,Left arm Fast medium,Bowling Allrounder,https://scores.iplt20.com/ipl/playerimages/David%20Willey.png?v=4
AndrewTye,Super Giants,Right hand Bat,Right arm Medium fast,Bowler,
SherfaneRutherford,RCB,Left hand Bat,Right arm Fast medium,Middle order Batter,https://assets.iplt20.com/ipl/IPLHeadshot2024/122.png
VarunAaron,Titans,Right hand Bat,Right arm Fast,Bowler,
RajBawa,Punjab Kings,Left hand Bat,Right arm Medium fast,Allrounder,https://scores.iplt20.com/ipl/playerimages/Rajangad%20Bawa.png?v=4
TusharDeshpande,Super Kings,Left hand Bat,Right arm Medium,Bowler,https://assets.iplt20.com/ipl/IPLHeadshot2024/539.png
NoorAhmad,Titans,Right hand Bat,Left arm Wrist spin,Bowler,https://assets.iplt20.com/ipl/IPLHeadshot2024/975.png
JoshLittle,Titans,Right hand Bat,Left arm Fast medium,Bowler,
MohitSharma,Titans,Right hand Bat,Right arm Medium,Bowler,https://assets.iplt20.com/ipl/IPLHeadshot2024/100.png
NehalWadhera,Mumbai,Left hand Bat,Legbreak,Top order Batter,https://assets.iplt20.com/ipl/IPLHeadshot2024/1541.png
CameronGreen,Mumbai,Right hand Bat,Right arm Fast medium,Batting Allrounder,https://assets.iplt20.com/ipl/IPLHeadshot2024/550.png
VishnuVinod,Mumbai,Right hand Bat,Not Available,Wicketkeeper Batter,https://assets.iplt20.com/ipl/IPLHeadshot2024/581.png
JasonBehrendorff,Mumbai,Right hand Bat,Left arm Fast medium,Bowler,https://scores.iplt20.com/ipl/playerimages/Jason%20Behrendorff.png?v=4
AkashMadhwal,Mumbai,Right hand Bat,Right arm Medium fast,Bowler,https://assets.iplt20.com/ipl/IPLHeadshot2024/1045.png
KyleMayers,Super Giants,Left hand Bat,Right arm Medium,Batting Allrounder,https://assets.iplt20.com/ipl/IPLHeadshot2024/726.png
Naveen-ul-Haq,Super Giants,Right hand Bat,Right arm Medium fast,Bowler,https://assets.iplt20.com/ipl/IPLHeadshot2024/639.png
YashThakur,Super Giants,Right hand Bat,Right arm Fast medium,Bowler,https://assets.iplt20.com/ipl/IPLHeadshot2024/1550.png
DasunShanaka,Titans,Right hand Bat,Right arm Medium,Allrounder,https://scores.iplt20.com/ipl/playerimages/Dasun%20Shanaka.png?v=4
MichaelBracewell,RCB,Left hand Bat,Right arm Offbreak,Batting Allrounder,
WayneParnell,RCB,Left hand Bat,Left arm Medium fast,Bowler,
VijaykumarVyshak,RCB,Right hand Bat,Right arm Medium,Bowler,https://assets.iplt20.com/ipl/IPLHeadshot2024/2034.png
HimanshuSharma,RCB,Right hand Bat,Legbreak,Bowler,https://assets.iplt20.com/ipl/IPLHeadshot2024/1568.png
VivrantSharma,Sunrisers,Left hand Bat,Legbreak Googly,Allrounder,https://scores.iplt20.com/ipl/playerimages/Vivrant%20Sharma.png?v=4
HeinrichKlaasen,Sunrisers,Right hand Bat,Right arm Offbreak,Wicketkeeper Batter,https://assets.iplt20.com/ipl/IPLHeadshot2024/202.png
HarryBrook,Sunrisers,Right hand Bat,Right arm Medium,Batter,https://scores.iplt20.com/ipl/playerimages/Harry%20Brook.png?v=4
SanvirSingh,Sunrisers,Right hand Bat,Right arm Medium,Allrounder,https://assets.iplt20.com/ipl/IPLHeadshot2024/1943.png
NitishKumarReddy,Sunrisers,Right hand Bat,Right arm Medium fast,Batting Allrounder,https://assets.iplt20.com/ipl/IPLHeadshot2024/1944.png
MayankDagar,Sunrisers,Right hand Bat,Slow Left arm Orthodox,Bowler,https://assets.iplt20.com/ipl/IPLHeadshot2024/1547.png
RahmanullahGurbaz,KKR,Right hand Bat,Not Available,Wicketkeeper Batter,https://assets.iplt20.com/ipl/IPLHeadshot2024/641.png
SuyashSharma,KKR,Right hand Bat,Legbreak Googly,Bowler,https://assets.iplt20.com/ipl/IPLHeadshot2024/1932.png
PhilSalt,Capitals,Right hand Bat,Right arm Offbreak,Wicketkeeper Batter,https://assets.iplt20.com/ipl/IPLHeadshot2024/1220.png
RileeRossouw,Capitals,Left hand Bat,Right arm Offbreak,Top order Batter,https://assets.iplt20.com/ipl/IPLHeadshot2024/1426.png
YashDhull,Capitals,Right hand Bat,Right arm Offbreak,Top order Batter,https://assets.iplt20.com/ipl/IPLHeadshot2024/777.png
AtharvaTaide,Punjab Kings,Left hand Bat,Slow Left arm Orthodox,Batting Allrounder,https://assets.iplt20.com/ipl/IPLHeadshot2024/1001.png
DhruvJurel,Royals,Right hand Bat,Not Available,Wicketkeeper Batter,https://assets.iplt20.com/ipl/IPLHeadshot2024/1004.png
AdamZampa,Royals,Right hand Bat,Legbreak Googly,Bowler,https://scores.iplt20.com/ipl/playerimages/Adam%20Zampa.png?v=4
KarnSharma,RCB,Left hand Bat,Legbreak Googly,Bowler,https://assets.iplt20.com/ipl/IPLHeadshot2024/98.png
MukeshKumar,Capitals,Right hand Bat,Right arm Medium,Bowler,https://assets.iplt20.com/ipl/IPLHeadshot2024/1462.png
SwapnilSingh,Super Giants,Right hand Bat,Slow Left arm Orthodox,Bowler,https://assets.iplt20.com/ipl/IPLHeadshot2024/1483.png
JoeRoot,Royals,Right hand Bat,"Right arm Offbreak, Legbreak",Top order Batter,https://scores.iplt20.com/ipl/playerimages/Joe%20Root.png?v=4
SikandarRaza,Punjab Kings,Right hand Bat,Right arm Offbreak,Batting Allrounder,https://assets.iplt20.com/ipl/IPLHeadshot2024/820.png
PraveenDubey,Capitals,Right hand Bat,Legbreak Googly,Bowler,https://assets.iplt20.com/ipl/IPLHeadshot2024/548.png
YudhvirSingh,Super Giants,Right hand Bat,Right arm Medium fast,Bowler,https://assets.iplt20.com/ipl/IPLHeadshot2024/587.png
ArshadKhan,Mumbai,Left hand Bat,Left arm Medium,Bowler,https://scores.iplt20.com/ipl/playerimages/Arshad%20Khan.png?v=4
JofraArcher,Mumbai,Right hand Bat,Right arm Fast,Bowler,https://scores.iplt20.com/ipl/playerimages/Jofra%20Archer.png?v=4
RaghavGoyal,Mumbai,Left hand Bat,Left arm Wrist spin,Bowler,
MatthewShort,Punjab Kings,Right hand Bat,Right arm Offbreak,Top order Batter,https://scores.iplt20.com/ipl/playerimages/Matthew%20Short.png?v=4
AkealHosein,Sunrisers,Left hand Bat,Slow Left arm Orthodox,Bowler,https://scores.iplt20.com/ipl/playerimages/Akeal%20Hosein.png?v=4
DavidWiese,KKR,Right hand Bat,Right arm Medium fast,Allrounder,https://scores.iplt20.com/ipl/playerimages/David%20Wiese.png?v=4
GurnoorBrar,Punjab Kings,Left hand Bat,Right arm Fast,Bowler,
ArjunTendulkar,Mumbai,Left hand Bat,Left arm Medium fast,Bowler,https://assets.iplt20.com/ipl/IPLHeadshot2024/585.png
KulwantKhejroliya,KKR,Left hand Bat,Left arm Medium fast,Bowler,
AbdulBasith,Royals,Right hand Bat,Right arm Offbreak,Allrounder,https://scores.iplt20.com/ipl/playerimages/Abdul%20Basith.png?v=4
HarpreetSingh,Punjab Kings,Left hand Bat,Right arm Medium,Batter,
LittonDas,KKR,Right hand Bat,Right arm Offbreak,Wicketkeeper Batter,
DuanJansen,Mumbai,Right hand Bat,Left arm Fast,Bowler,
MarkWood,Super Giants,Right hand Bat,Right arm Fast,Bowler,https://scores.iplt20.com/ipl/playerimages/Mark%20Wood.png?v=4
AbishekPorel,Capitals,Left hand Bat,Not Available,Wicketkeeper Batter,https://assets.iplt20.com/ipl/IPLHeadshot2024/1580.png
SisandaMagala,Super Kings,Right hand Bat,Right arm Fast medium,Bowler,
MohitRathee,Punjab Kings,Right hand Bat,Legbreak,Allrounder,https://scores.iplt20.com/ipl/playerimages/Mohit%20Rathee.png?v=4
RajvardhanHangargekar,Super Kings,Right hand Bat,Right arm Fast medium,Bowling Allrounder,https://assets.iplt20.com/ipl/IPLHeadshot2024/783.png
ReeceTopley,RCB,Right hand Bat,Left arm Fast medium,Bowler,https://assets.iplt20.com/ipl/IPLHeadshot2024/574.png
